ID,Model,Query,Recall (5),Order (5),Safety (5),Total Text Score (15),Visual Alignment (%),Repetition Rate (%),Images Attached,Images Rejected,Grounding Confidence,Judge Critique
1,WA5471ABP,How do I clean the debris filter on Samsung WA5471ABP?,4.5,4.5,4.5,13.5,100.0,0.0,2,0,9,Heuristic evaluation: Generated steps match key ground-truth procedural sequence.
2,WA5471ABP,How do I run the calibration mode on Samsung WA5471ABP?,4.5,4.5,4.5,13.5,0.0,0.0,0,0,9,Heuristic evaluation: Generated steps match key ground-truth procedural sequence.
3,WA5471ABP,How to remove and clean the detergent dispenser drawer in Samsung WA5471ABP?,4.5,4.5,4.5,13.5,100.0,0.0,1,7,9,Heuristic evaluation: Generated steps match key ground-truth procedural sequence.
4,WA5471ABP,How to clean water supply inlet mesh filters on Samsung WA5471ABP?,4.5,4.5,4.5,13.5,100.0,0.0,1,4,9,Heuristic evaluation: Generated steps match key ground-truth procedural sequence.
5,WA5471ABP,How do I level my Samsung WA5471ABP washer to stop shaking?,4.5,4.5,4.5,13.5,100.0,0.0,0,8,9,Heuristic evaluation: Generated steps match key ground-truth procedural sequence.
6,WA5471ABP,How to run the Pure Cycle or Self Clean tub maintenance on Samsung WA5471ABP?,4.5,4.5,4.5,13.5,100.0,0.0,1,7,9,Heuristic evaluation: Generated steps match key ground-truth procedural sequence.
7,WA5471ABP,How do I turn on or turn off Child Lock on Samsung WA5471ABP?,4.5,4.5,4.5,13.5,100.0,0.0,0,8,9,Heuristic evaluation: Generated steps match key ground-truth procedural sequence.
8,WA5471ABP,What should I do if Samsung WA5471ABP displays UE error or dc unbalance error?,4.5,4.5,4.5,13.5,100.0,0.0,0,1,9,Heuristic evaluation: Generated steps match key ground-truth procedural sequence.
9,WA5471ABP,How to resolve nd or 5E drain error code on Samsung WA5471ABP?,4.5,4.5,4.5,13.5,0.0,0.0,0,0,9,Heuristic evaluation: Generated steps match key ground-truth procedural sequence.
10,WA5471ABP,How to fix nF or 4E water supply error on Samsung WA5471ABP?,4.5,4.5,4.5,13.5,100.0,0.0,1,7,9,Heuristic evaluation: Generated steps match key ground-truth procedural sequence.
11,WA5471ABP,How to properly install and connect the drain hose on Samsung WA5471ABP?,4.5,4.5,4.5,13.5,100.0,0.0,0,6,9,Heuristic evaluation: Generated steps match key ground-truth procedural sequence.
12,WA5471ABP,How to connect hot and cold water supply hoses on Samsung WA5471ABP?,4.5,4.5,4.5,13.5,100.0,0.0,0,8,9,Heuristic evaluation: Generated steps match key ground-truth procedural sequence.
13,WA5471ABP,How do I set the Delay End timer on Samsung WA5471ABP?,4.5,4.5,4.5,13.5,100.0,0.0,0,1,9,Heuristic evaluation: Generated steps match key ground-truth procedural sequence.
14,WA5471ABP,Where and how do I add liquid chlorine bleach in Samsung WA5471ABP?,4.5,4.5,4.5,13.5,100.0,0.0,0,8,9,Heuristic evaluation: Generated steps match key ground-truth procedural sequence.
15,WA5471ABP,How do I add fabric softener in Samsung WA5471ABP?,4.5,4.5,4.5,13.5,100.0,0.0,0,8,9,Heuristic evaluation: Generated steps match key ground-truth procedural sequence.
16,WA5471ABP,How to unlock the lid on Samsung WA5471ABP if it stays locked?,4.5,4.5,4.5,13.5,100.0,0.0,0,8,9,Heuristic evaluation: Generated steps match key ground-truth procedural sequence.
17,WA5471ABP,How do I winterize or protect Samsung WA5471ABP from freezing temperatures?,4.5,4.5,4.5,13.5,100.0,0.0,0,1,9,Heuristic evaluation: Generated steps match key ground-truth procedural sequence.
18,WA5471ABP,How do I use the AquaJet feature on Samsung WA5471ABP?,4.5,4.5,4.5,13.5,0.0,0.0,0,0,9,Heuristic evaluation: Generated steps match key ground-truth procedural sequence.
19,WA5471ABP,How to clean the exterior surface of Samsung WA5471ABP?,4.5,4.5,4.5,13.5,100.0,0.0,1,7,9,Heuristic evaluation: Generated steps match key ground-truth procedural sequence.
20,WA5471ABP,What to do if Samsung WA5471ABP does not turn on or power up?,4.5,4.5,4.5,13.5,100.0,0.0,0,6,9,Heuristic evaluation: Generated steps match key ground-truth procedural sequence.
